"transition_id","flow_id","journey_id","stage_id","screen_id","route","actor","state","trigger","visible_structure","primary_action","secondary_action","system_response","preserved_input","error_or_status","recovery","analytics_event","accessibility_requirement","source_of_truth","qa_status","data_captured","privacy_boundary","owner","next_screen_id"
"TR-SYS-003","FLOW-SYSTEM","JRN-05","STG-RES-01","SYS-03","/offline","any","offline_or_stale","offline route or network loss","static no-protected-data explanation","Try again","Return to safe public page","no protected fetch/mutation","browser-only input described elsewhere","offline","reconnect","offline_viewed","offline state announced; keyboard actions","V0_1_ROUTE_SCREEN_CONTRACTS; Mobile/PWA","spec_ready","none","public static","PWA shell","HOME-01"
"TR-SYS-004","FLOW-SYSTEM","JRN-05","STG-RES-01","SYS-04","current route","learner","locked","prerequisite/access blocks resource","safe title; exact reason; permitted prerequisite","Go to prerequisite","Back","deny protected payload and preserve canonical state","none","locked","complete prerequisite or approved access path","resource_locked_viewed","lock status not color only","UX State Spec; G1_ROUTE_AUTHORIZATION","spec_ready","none","no cross-tenant disclosure","authorization","COURSE-02"
"TR-ADM-001","FLOW-ADMIN","JRN-06","STG-ADM-01","ADM-01","admin /","AC operator","unauthorized_or_expired","admin host without Access/app session","separate access/session boundary","Authenticate","Return to learner site","deny admin payload","safe admin return path","admin_auth_required","Access then AC session","admin_access_boundary","heading and no learner-session confusion","Admin boundary; AUTHORIZATION_MATRIX","spec_ready","none","privileged surface","edge plus identity","ADM-01"
"TR-ADM-002","FLOW-ADMIN","JRN-06","STG-ADM-01","ADM-01","admin /","authorized operator","loading","admin session present","tenant/role context skeleton","Wait","Sign out","resolve tenant membership permission freshness","none","loading","retry/session recovery","admin_overview_viewed","landmarks and status","Admin; route contract","spec_ready","none","tenant scoped","admin projection","ADM-01"
"TR-ADM-003","FLOW-ADMIN","JRN-06","STG-ADM-01","ADM-01","admin /","authorized operator","ready","overview projection resolves","tenant; role; freshness; available metrics; unknowns","Open learning operations","Open people","show read models only; unknown not zero","none","ready","navigate by permission","admin_overview_ready","tables/cards named; unknown textual","ORG-01 Drive; Admin boundary","spec_ready","none","tenant scoped","admin projection","ADM-04"
"TR-ADM-004","FLOW-ADMIN","JRN-06","STG-ADM-02","ADM-02","admin /people","operator without named permission","permission_denied","people route requested","safe denial without directory/resource existence","Back to overview","Sign out","deny server-side","none","permission_denied","request proper role through governance","admin_permission_denied","focus denial; no hidden data","AUTHORIZATION_MATRIX","spec_ready","none","no cross-tenant disclosure","authorization","ADM-01"
"TR-ADM-005","FLOW-ADMIN","JRN-06","STG-ADM-02","ADM-03","admin /catalog","authorized content operator","ready","catalog projection resolves","published/draft version facts; no unsafe publish control","Open version detail","Back","show immutable/version status and safe actions only","none","ready","navigate or retry","admin_catalog_viewed","table headings/status text","AUTHOR-01; Admin boundary","spec_ready","none","tenant/catalog scoped","catalog admin","ADM-03"
"TR-ADM-006","FLOW-ADMIN","JRN-06","STG-ADM-03","ADM-04","admin /learning-operations","authorized operator","ready","learning diagnosis requested","learner/enrollment/progress diagnosis with provenance","Open correction","Open grant","show canonical facts and permitted commands","none","ready","named command or return","learning_operations_viewed","dense table keyboard/zoom accessible","Admin boundary; ORG refs","spec_ready","diagnostic query","tenant scoped; least privilege","learning operations","ADM-05"
"TR-ADM-007","FLOW-ADMIN","JRN-06","STG-ADM-03","ADM-05","admin /people/corrections","authorized operator","processing","confirmed correction with reason","named consequence; reason; audit status","Confirm correction","Cancel","execute idempotent append-safe correction; never overwrite history","reason until result","processing","verify result or retry same command","admin_correction_requested","dialog focus trap/return; consequence text","Admin boundary; AC-IMP-03","spec_ready","target; reason; purpose; idempotency","tenant scoped; audit critical","learning operations","ADM-04"
"TR-ADM-008","FLOW-ADMIN","JRN-06","STG-ADM-03","ADM-06","admin /people/grants","authorized operator","processing","confirmed grant with reason","access source; target; reason; audit status","Confirm grant","Cancel","execute named idempotent grant without payment fabrication","reason until result","processing","verify result or retry same command","admin_grant_requested","dialog semantics and explicit consequence","Admin boundary; AC-IMP-04","spec_ready","target; reason; access source","tenant scoped; audit critical","learning operations","ADM-04"
"TR-ADM-009","FLOW-ADMIN","JRN-06","STG-ADM-03","ADM-04","admin /learning-operations","authorized operator","retryable_error","diagnosis/command transient failure","sanitized error; correlation/request ID; current audit state","Retry","Open runbook/support","preserve canonical command outcome; query before repeat","reason and idempotency intent","operation_unknown_or_failed","reconcile through named application command; no SQL","admin_operation_failed","error/status/correlation accessible","AC-UXA-01; AGENTS guardrails","spec_ready","request ID only","no secrets/internal exception","learning operations","ADM-04"
