flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status,platform_scope,capability_gate,data_boundary
FLOW-LL-04,LL-IMPR-01,/activity/{activityId},enrolled learner,success,improvement revision accepted,"loop completion fact; next authorized task; review path",Open next authorized task,Review this loop,show canonical completion/next action without mastery claim,submitted improvement,Improvement saved,open exact next route or bounded completion summary,not_assigned,"success text/icon and named destination; no auto-navigation",canonical learning projection,gap_blocked,desktop_chrome|pwa,improve policy,canonical_online_mutation
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,install_available,browser reports install affordance,"dismissible install guidance; same learner shell",Install this app,Not now,open browser/OS install flow when offered,none,Install is available here,dismiss and continue in browser,not_assigned,"dialog/banner labelled; no native-app claim",browser install capability,spec_ready,desktop_chrome|pwa,install manifest,read_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,standalone,app launched from Home Screen/installed mode,"same route shell; safe-area-aware layout; no browser chrome assumptions",Continue learning,Open browser controls,retain identical authorization/content semantics,none,Installed browser mode,return to browser if needed,not_assigned,"landmark order and focus remain unchanged",PWA display mode,spec_ready,pwa,standalone metadata,read_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,update_available,service worker reports waiting update,"non-blocking update banner; dirty-work guard",Update when safe,Keep current version,defer activation until safe boundary and explain timing,dirty draft if present,An update is ready,apply after save/exit or retry later,not_assigned,"banner is dismissible and announces status",service worker/browser lifecycle,spec_ready,desktop_chrome|pwa,update lifecycle,read_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,update_deferred,dirty form/active playback/check,"update notice retained; current task uninterrupted",Save and update later,Keep working,do not reload over learner input or paused check,dirty text/selected answer,Update waiting until it is safe,apply only after explicit safe boundary,not_assigned,"notice does not trap focus or obscure primary action",local draft and presentation state,spec_ready,desktop_chrome|pwa,update lifecycle,local_recovery_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,offline_or_stale,network unavailable,"allowlisted shell/roadmap cache; stale timestamp; mutations disabled",Reconnect,Read cached lesson context,render stale read-only data only; no playback/download/canonical write claim,approved local draft if allowed,Offline — changes will not sync yet,reconnect then re-read and reconcile,not_assigned,"offline state and blocked action reason are textual",approved offline cache policy,spec_ready,desktop_chrome|pwa,offline policy,local_recovery_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,reconnecting,network returns after offline,"reconnecting status; canonical re-read gate",Refresh learning state,Keep local draft,validate session/authorization/revisions before offering writes,approved local draft,Checking for latest changes,reconcile explicitly; do not auto-submit,not_assigned,"live status polite; focus remains stable",canonical APIs plus local recovery,spec_ready,desktop_chrome|pwa,reconnect policy,local_recovery_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,storage_unavailable,IndexedDB/Web Crypto/quota/privacy-mode failure,"online page remains usable; local recovery warning",Copy recovery text,Stay on page,do not claim local retention and offer user-initiated copy where safe,current text if visible,Local recovery is unavailable,copy/export before leaving; retry storage,not_assigned,"warning associated with recovery action; no silent data loss claim",browser storage result and draft policy,spec_ready,desktop_chrome|pwa,storage capability,local_recovery_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,backgrounded,app/tab hidden or suspended,"return state; update/offline/auth notices on foreground",Return to learning,Close,refresh boundedly on foreground without assuming background writes,none,Learning was paused in the background,re-read relevant projection,not_assigned,"focus return and announcements are predictable",Page Visibility/browser lifecycle,spec_ready,desktop_chrome|pwa,background behavior,read_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,safe_area_layout,device reports inset or fixed navigation present,"content clearance; bottom navigation/action padded by safe area",Continue,Open module path,apply safe-area inset and preserve scroll/action reachability,none,Layout adjusted,scroll to focused action or rotate,not_assigned,"fixed elements never obscure focused content",CSS env safe-area contract,spec_ready,pwa,safe-area support,read_only
FLOW-LL-05,LL-PWA-01,/offline or shell overlay,learner,orientation_change,portrait/landscape change,"reflowed shell; player/task order preserved",Continue,Open controls,adapt layout without requiring orientation lock,none,Layout adjusted,continue inline if lock unsupported,not_assigned,"no horizontal overflow; focus remains visible",responsive/orientation contract,spec_ready,desktop_chrome|pwa,orientation support,read_only
FLOW-LL-05,LL-AUTH-01,/session-expired,learner,unauthorized_or_expired,401 or explicit session expiry,"recovery heading; intended return path; protected data cleared",Sign in again,Back,clear protected projection and retain only approved local recovery,intended route and approved local draft,Your session expired,reauthenticate and re-read latest state,not_assigned,"focus moves to heading; no protected existence disclosure",identity/session API,spec_ready,desktop_chrome|pwa,session,local_recovery_only
FLOW-LL-05,LL-AUTH-01,/session-expired,learner,processing,reauthentication submitted,"recovery form busy; return-path context",Wait,Cancel if safe,validate session and return target without mutating learning state,credential field behavior,Signing you back in,bounded retry or safe reset,not_assigned,"status announced; password/credential fields never echoed",identity/session API,spec_ready,desktop_chrome|pwa,session,read_only
FLOW-LL-05,LL-AUTH-01,/session-expired,learner,success,reauthentication accepted and latest projection read,"intended activity/module restored; conflict/offline state if needed",Return to learning,Back to home,re-enable only authorized actions after revision checks,approved local draft if any,You are signed in,review conflict or continue safely,not_assigned,"focus returns to intended region; status remains visible",identity/session plus activity/draft projection,spec_ready,desktop_chrome|pwa,session,canonical_online_mutation
